OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF_Find_Neighborhoods,Current_Police_Districts,Current_Supervisor_Districts,Analysis_Neighborhoods
33590,16th St&Church St SW-NS/BZ,16STCHU0,,7834,37.764457,-122.428791,,CHURCH ST,16TH ST,,,,,09/11/2019 06:58:28 PM +0000,1639940,120,,"(37.76445699971263, -122.42879100042555)",37,3,5,5
31958,Judah St&La Playa St NW-FS,JUDALAP0,,7219,37.760349,-122.508685,0,LA PLAYA,JUDAH ST,,,,0,09/11/2019 06:58:28 PM +0000,1636226,120,,"(37.760349000429414, -122.50868499992393)",39,10,7,35
31608,Noe St&27th St SE-NS/PS,NOE 27S1,NOE 27ST,5733,37.74654,-122.43132,0,27TH ST,NOE ST,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1635087,120,,"(37.746539999877655, -122.43131999973647)",84,9,5,22
33619,D.C. Bart Parking Lot E-MB/BZ,BARTDELO,,7925,37.705969,-122.468769,,WEST STATION RD,BART ACCESS RD,,,,,09/11/2019 06:58:28 PM +0000,1639973,120,,"(37.705968999562344, -122.46876900021346)",,,,
33486,Alemany Blvd&Folsom St NW-FS/BZ,ALEMFOLS,,7626,37.73327,-122.413919,0,FOLSOM ST,ALEMANY BLVD,FS,,BZ,0,09/11/2019 06:58:28 PM +0000,1639865,120,,"(37.73327000023989, -122.4139190002294)",83,9,2,2
31677,3rd St&Le Conte Ave S-FS/SI,3ST LCN1,,7394,37.71864,-122.397697,0,BAY SHORE BLVD,03RD ST,,,,0,09/11/2019 06:58:28 PM +0000,1635860,120,,"(37.718639999678, -122.39769699969462)",88,2,9,1
30870,Divisadero St&Jackson St SE-NS/PS,DIVIJAC1,DIVIJACK,4427,37.79154,-122.44108,0,JACKSON ST,DIVISADERO ST,NS,SE,,0,09/11/2019 06:58:28 PM +0000,1633851,120,,"(37.791539999611025, -122.44107999944194)",102,4,6,30
31943,Sacramento St&Polk St NW-FS/BZ,SACOPOL0,SACOPOLK,6311,37.791516,-122.421146,0,POLK ST,SACRAMENTO ST,FS,NW,BZ,1,09/11/2019 06:58:28 PM +0000,1636192,120,,"(37.79151600020005, -122.42114599993155)",105,4,3,21
32360,Point Lobos Ave&42nd Ave NE-NS/BZ,PTLO42A0,PTLO42AV,6109,37.779651,-122.502855,0,42ND AVE,GEARY BLVD,NS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1636920,120,,"(37.77965099963923, -122.50285499979144)",8,8,4,29
30868,Divisadero St&Hayes St NE-FS/BZ,DIVIHAY1,DIVIHAYS,4425,37.775059,-122.437739,0,HAYES ST,DIVISADERO ST,FS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1633849,120,,"(37.77505899959101, -122.43773900020697)",23,4,11,9
30586,30th Ave&Quintara St SE-NS/PS,30AVQUI1,30AVQUIN,3526,37.74799,-122.4878,0,QUINTARA ST,30TH AVE,NS,SE,FL,0,09/11/2019 06:58:28 PM +0000,1633292,120,,"(37.74799000033544, -122.48780000030143)",40,10,7,35
30678,Connecticut St&26TH St NE-FS/SB,CONN26S1,CONN26ST,4129,37.75143,-122.396345,0,26TH ST,CONNECTICUT ST,FS,NE,,0,09/11/2019 06:58:28 PM +0000,1633536,120,,"(37.751429999943646, -122.39634500032639)",54,2,9,1
32844,Evans Ave&Mendell St N-FS/BZ,EVANMEND,EVANMEND,7077,37.740905,-122.384564,0,MENDELL ST,EVANS AVE,FS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1637996,120,,"(37.740904999755365, -122.38456399993585)",76,2,9,1
32870,Cortland Ave&Elsie St W-NS/BZ,CORTELS0,CORTELSE,4150,37.7397,-122.41969,0,ELSIE ST,CORTLAND AVE,NS,W,BZ,0,09/11/2019 06:58:28 PM +0000,1638039,120,,"(37.73969999963607, -122.41969000050028)",61,9,2,2
31508,Ocean Ave&Fairfield Way NW-FS/SI,OCENFFL1,OCENFFLD,5788,37.726008,-122.464072,0,FAIRFIELD WAY,OCEAN AVE,FS,NW,SI,0,09/11/2019 06:58:28 PM +0000,1635209,120,,"(37.726008000266454, -122.46407199991633)",68,10,8,41
30296,14th St&Noe St NE-NS/PS,14STNOE1,14STNOE,3258,37.76751,-122.43327,0,NOE ST,14TH ST,NS,NE,,0,09/11/2019 06:58:28 PM +0000,1632850,120,,"(37.76750999977864, -122.43327000034598)",28,7,5,5
